id_ligne_idfm,climatisation_manuel
C01371,airConditioning
C01372,airConditioning
C01374,airConditioning
C01375,airConditioning
C01379,airConditioning
C01381,airConditioning
C01384,airConditioning
C01373,noConditioning
C01376,noConditioning
C01377,noConditioning
C01378,noConditioning
C01380,noConditioning
C01382,noConditioning
C01383,noConditioning
C01386,noConditioning
C01387,noConditioning
C01742,airConditioning
C01743,airConditioning
C01727,airConditioning
C01728,airConditioning
C01729,airConditioning
C01736,airConditioning
C01737,airConditioning
C01738,airConditioning
C01739,airConditioning
C01740,airConditioning
C01741,airConditioning
C01730,noConditioning
C01731,noConditioning
C02711,noConditioning
C01389,noConditioning
C01390,airConditioning
C01391,airConditioning
C01679,airConditioning
C01684,airConditioning
C01794,airConditioning
C01774,airConditioning
C01795,airConditioning
C02317,airConditioning
C02528,airConditioning
C02344,airConditioning
C01843,airConditioning
C01999,airConditioning
C02529,airConditioning
C02732,airConditioning
